072_a,072_x
672,Předměty ze železa a oceli
37,Výchova a vzdělávání
821.161,Východoslovanské literatury
780.92,Persons associated with music
322,Politika a náboženství. Vztahy mezi církví a státem
811.16,Slovanské jazyky
521,Celestial mechanics
811.161.1,Ruština
784,Vokální hudba
674,Dřevo. Dřevařský průmysl
159.97,Psychopatologie
821.111(73).09,Americká literatura (o ní)
159.95,Vyšší duševní procesy
902,Archeologie
904,Kulturní památky historického období obecně
94(491.1/494.9),Dějiny ostatních evropských států
35.07,Organizace a řízení veřejné správy
06,Organizace všeobecné povahy
304,Kulturní politika
01,Bibliografie. Katalogy
77,Fotografie. Fotografické postupy
913(6),"Geografie Afriky, reálie, cestování"
788,Hudba pro dechové nástroje
14(3),"Antická, starověká filozofie"
811.124,Latina
821.162.3-2,České drama
657,Účetnictví
271/279,"Křesťanské církve, sekty, denominace"
687,Oděvní průmysl. Kosmetika. Kadeřnictví. Péče o vzhled
912:51,Matematická geografie
82-1/-8,Literatura různých forem a žánrů (o ní)
821.41.09,Afroasijské (hamitosemitské) literatury (o nich)
663,Průmysl nápojů. Kvasný průmysl. Průmysl pochutin
94(420/429),Dějiny Anglie a Walesu
786.8,Percussion instruments
347.7,Obchodní právo. Finanční právo. Právo průmyslového vlastnictví. Patentové právo. Autorské právo
698,Dokončovací práce
614.84,Požáry. Ochrana před požáry
808,Literární styl. Literární činnost a technika. Efektivní využívání jazyka. Spisovatelská činnost
654,Telekomunikace a dálkové řízení
625,Engineering of railroads and roads
616,Patologie. Klinická medicína
821.17,Baltské literatury
821.112.2-2,"Německé drama, německy psané"
94(54),Dějiny států indického subkontinentu
37.09,Organizace výuky a vzdělávání
316.7,Sociologie kultury. Kulturní život
27-78,"Křesťanská sdružení, spolky a organizace. Řeholní řády"
27,Křesťanství. Křesťanská církev všeobecně. Eklesiologie
821.14'02,Řecká antická literatura
699.8,Ochrana budov
811.134,Iberorománské jazyky
741.52,Komiksy. Komiksové adaptace
691,Stavební hmoty
159.93/.94,Senzorické a motorické funkce. Emoce. Vůle
093,Prvotisky
006.95,Chronologie
004.22,Computer architecture
782,"Divadelní hudba. Opera, opereta, muzikál"
67/68,Řemesla. Různá odvětví průmyslu
636.09,Veterinární lékařství
618,Gynekologie. Porodnictví
821.09,Literatura v různých jazycích (o ní)
316.4,Sociální procesy
334,Formy organizace a spolupráce v ekonomice
94(736),Dějiny států jižní části středních USA
612,Fyziologie člověka a srovnávací fyziologie
548,Krystalografie
025,Organizace knihoven a knihovních fondů
29,Moderní duchovní hnutí
321,Politologie
908(437),Vlastivěda Česka a Slovenska
94(861/866),Dějiny Kolumbie a Ekvádoru
523.3,Země
11,Metafyzika
821.14'02.09,Řecká antická literatura (o ní)
82.0,Literatura (teorie)
811.161,Východoslovanské jazyky
821.163.09,Jihoslovanské literatury (o nich)
391,Customs and personal apperance
615,Farmacie. Farmakologie
780.901-780.905,Periods of stylistic development of music
026/027,Knihovny
33,Ekonomie
523/524,Sluneční soustava. Hvězdy. Vesmír
821.124-1,"Latinská poezie, latinsky psaná"
821.62.09,Austronéské literatury (o nich)
82:06,"Literární organizace, soutěže"
578,Virologie
330.5+338,Národní hospodářství a hospodářská politika
316,Sociologie
69,Stavebnictví
36,Zajištění duševních a materiálních potřeb
821.162.3.09,Česká literatura (o ní)
94(9),"Dějiny Oceánie, Austrálie, Arktidy a Antarktidy"
629,Dopravní prostředky
549,Mineralogie
81,Lingvistika. Jazyky
330.8,"Ekonomické teorie, doktríny, směry"
003,Systémy psaní a písma. Sémiotika (obecně)
576,Buněčná biologie. Cytologie
94(671/679),Dějiny států a území střední Afriky a přilehlých ostrovů. Rovníková Afrika
793.3,Pohybové umění. Tanec
27-4,Praktická teologie. Morální teologie
811.112.2,Němčina
821.163.1,Staroslověnská literatura
377,Odborné vzdělávání
94(520),Dějiny Japonska
66,Chemický průmysl. Chemická technologie
82-9,"Literární kritika, věcná literatura a různé další žánry"
9,Geografie. Biografické studie. Dějiny
323,"Vnitropolitický vývoj, politický život"
821.14'02-3,Řecká antická próza
821.111-1,"Anglická poezie, anglicky psaná"
786/789,Hudba pro jednotlivé nástroje
82:03,"Literární slovníky, encyklopedie. Konkordance"
94(3),Dějiny zemí starověkého světa
0/9-053.2,Literatura pro děti a mládež (naučná)
929,Biografie
60,Biotechnologie. Genetické inženýrství
543,Analytická chemie
643,Byt. Místnosti. Vybavení bytu
504,Znečištění a poškození životního prostředí
094.5,Tisky (19. století)
357,Motorizované jednotky. Jezdectvo
94(61),Dějiny Tunisu a Libye
913(7),"Geografie Severní Ameriky, reálie, cestování"
533,Mechanika plynů. Aeromechanika. Fyzika plazmatu
502,Životní prostředí a jeho ochrana
122/129,Speciální metafyzika
789,Hudba pro bicí nástroje
620,Engineering and allied operations
311,Statistika
165,Teorie poznání. Epistemologie
577,Biochemie. Molekulární biologie. Biofyzika
621.039,Jaderná technika
026,Odborné/speciální knihovny
94(73),Dějiny Spojených států amerických
78,Hudba
648,Praní. Čištění
625,Pozemní komunikace. Železniční stavitelství
821.111-2,"Anglické drama, anglicky psané"
639.1,Myslivost
327,"Mezinárodní vztahy, světová politika"
797,Vodní sporty. Letecké sporty
811.112,Západogermánské jazyky
94(931),Dějiny Nového Zélandu
00,Věda. Všeobecnosti. Základy vědy a kultury. Vědecká práce
76,Grafické umění. Grafika
631,Zemědělství. Pedologie. Agrotechnika. Agroekologie
32,Politika
3,Společenské vědy
326,Otroctví
581,Obecná botanika
94(680/689.7),Dějiny států a území jižní Afriky
621.3,Elektrotechnika
94(581),Dějiny Afghánistánu
331,Práce
620.1/.2,Nauka o materiálu
521,Teoretická astronomie. Nebeská mechanika
374,Výchova a vzdělávání dospělých. Mimoškolní výchova a vzdělávání
616-092,Experimentální medicína
821.14.09,"Řecká literatura (středověká, novodobá) (o ní)"
787,Hudba pro strunné a smyčcové nástroje
821.111(73),Americká literatura
004,Počítačová věda. Výpočetní technika. Informační technologie
260,Christian social and ecclesiastical theology
821.16.09,Slovanské literatury (o nich)
552,Petrologie
811.9,Umělé jazyky
316.77,Informační věda
821.111.09,"Anglická literatura, anglicky psaná (o ní)"
547,Organická chemie
